logFC	AveExpr	t	P.Value	adj.P.Val	B
Ttyh3	0.357976780683975	8.32907541046518	29.9492194655072	6.11601705848716e-34	1.01388444585303e-31	67.1752685710962
A330023F24Rik	0.678262693952489	7.29958981282993	29.9078150388036	6.53693696105564e-34	1.07162186581572e-31	67.1314544319228
Vwa3a	-1.17149009842772	2.89849059871208	-30.1152706839512	4.68707479193123e-34	8.23251208097063e-32	67.1180567836071
Traf3	0.516681757688467	6.46829404134773	29.8644167562187	7.00987589281046e-34	1.13652427387391e-31	67.0833542559915
Homer1	0.868150142310273	7.78109519296761	29.7818846508376	8.00774830219217e-34	1.28419911359286e-31	66.9161280560976
Kcnk1	0.401357150899549	6.67124153588663	29.7010590051453	9.12545101026205e-34	1.44770864736996e-31	66.8113201301773
Sytl2	-0.706913195711098	6.51669176628522	-29.6791286512295	9.45528040508708e-34	1.48407667124101e-31	66.7815180700412
Hnrnpr	-0.427146466504419	6.15116048620039	-29.6252583581529	1.03180096363736e-33	1.6024412018427e-31	66.7050735935267
Kazn	0.320484033040812	6.59027218372708	29.5082606544786	1.24786584430947e-33	1.91781381947311e-31	66.4985608138441
Ncoa5	0.403882689170062	6.07479481243606	29.4722696210118	1.32320635024484e-33	1.99210066239923e-31	66.4578380920069
AI414108	0.725895707005092	7.25515630313974	29.4906171627965	1.28423722904113e-33	1.95336454404875e-31	66.4524099622433
Cdyl2	0.803987979471763	5.1653354213859	29.3754701964562	1.54967370401848e-33	2.30948341707966e-31	66.337707888794
Zdhhc5	0.437634177937811	6.29706789032377	29.3628451898889	1.58199053842017e-33	2.33406884038512e-31	66.2699886464941
Tfrc	-0.675308384960933	7.14227170482421	-29.2474093490993	1.91126829859859e-33	2.76459338014938e-31	66.0545997462631
Sh3rf3	0.490725665621498	5.55439259894617	29.189196111826	2.1030151582667e-33	2.95503672810162e-31	66.0148524018752
Dact2	-0.691141449910254	6.46697171985809	-29.2082225315488	2.03827913167539e-33	2.89161252968642e-31	66.010079798782
Acin1	0.329057531215835	7.2126473823296	29.2140894787468	2.01872951309529e-33	2.89161252968642e-31	65.9972561663933
Wbscr27	-0.926527854926811	2.77783081050961	-29.2981848082938	1.75859545324748e-33	2.56894230863498e-31	65.8043387421899
Anxa11	0.818136464002135	4.63062526516237	29.0406522648907	2.68612631871363e-33	3.71309905879096e-31	65.7960777466605
Slco3a1	0.543173361409832	5.18510087505947	29.0346264443505	2.71298964311082e-33	3.71309905879096e-31	65.7749793878807
Mdga1	1.26406713278707	4.76450154601184	28.9973613027697	2.88530894472047e-33	3.86998619730962e-31	65.7248832654584
Etv5	0.581724604185956	6.94708067964959	29.0335078008413	2.71800663107919e-33	3.71309905879096e-31	65.7049862755457
Wdr6	-0.724164935358117	6.83501906494399	-29.019170914151	2.78314894586976e-33	3.76720913278555e-31	65.6849316121069
Nxf1	0.352379019916211	7.01839722288017	28.9071352860866	3.35020787527939e-33	4.45306008935784e-31	65.4918829532238
Synj2	0.71798210594029	7.02990612149283	28.6673800702211	4.9928829340248e-33	6.57723167933946e-31	65.0904252014696
